,bc8,6/4,9/4,6/8,9/8,bc4,bc2,bc3,2/2,2/4,bc6,3/4,5/4,7/4,12/4,bc12,12/8,5/8,7/8,4/4
bc8,0.0,1.2585831744204157,1.2625090333386704,1.3109829769880035,1.3161587636900292,1.4142135623730951,1.7320508075688772,1.9880347076139728,2.1178565658355466,2.208662028879656,2.2160701277379324,2.228734715968673,2.2525570492566733,2.2526717420512137,2.344733997370035,2.4208397543577864,2.4395604317236406,2.462810187313962,2.463117746962628,2.9525040423525586
6/4,1.2585831744204157,0.0,0.5240224645416621,0.17885668969107618,0.571912250168379,1.532713086343538,1.7528143276457988,1.7774369520469,0.9834575355577644,1.0691295218226076,1.819734674092023,1.226996520213322,1.2426393679204255,1.2371016162813258,1.3173445917394495,1.732751831216743,1.4260218443708879,1.4533740142540938,1.448074728790257,1.861380378003388
9/4,1.2625090333386704,0.5240224645416621,0.0,0.574064342815305,0.1844958216072874,1.527241141744452,1.7454879545305588,1.7749877092324229,1.1428908660453205,1.2264637718362361,1.822974179061345,1.0861603474989177,1.2609316794164562,1.2732070510642894,1.5938571688858252,1.7514942771371529,1.6956431051852519,1.4725780115743772,1.4844679857631502,2.099986505736156
6/8,1.3109829769880035,0.17885668969107618,0.574064342815305,0.0,0.5635773841260777,1.639656837068747,1.9205401696778663,1.9254630913243416,0.9786986459206967,1.046857796430589,1.9492082580912944,1.2164373474380388,1.2310758329750044,1.225053384060648,1.245882563014849,1.759672949936043,1.342886389209015,1.4020062723515732,1.3960406610940372,1.7887284402383967
9/8,1.3161587636900292,0.571912250168379,0.1844958216072874,0.5635773841260777,0.0,1.6371866158288673,1.9184316550373064,1.9274885101417978,1.1492836030637121,1.2171599950985257,1.956329062020371,1.0613030634166942,1.2498546646895923,1.2631699825700682,1.5527598984792792,1.779958740071336,1.6431883961402762,1.4210362811335675,1.4342307532456644,2.050991344030468
bc4,1.4142135623730951,1.532713086343538,1.527241141744452,1.639656837068747,1.6371866158288673,0.0,1.0,1.4090291046251149,2.089241237809631,2.2071441381463903,1.7253243712550144,2.2274000675525847,2.250893514376732,2.2511478991248537,2.600582551723907,1.9883380930045633,2.712765879466653,2.51202300263175,2.512488401223459,3.1166874275784666
bc2,1.7320508075688772,1.7528143276457988,1.7454879545305588,1.9205401696778663,1.9184316550373064,1.0,0.0,0.9985283792228454,2.20054413883077,2.3319767473712547,1.4059673488550548,2.3496071430748593,2.368890339179246,2.3690445921301735,2.7559993450421447,2.225643361388572,2.891210597102619,2.703749168423549,2.7041815705093497,3.2385212044073435
bc3,1.9880347076139728,1.7774369520469,1.7749877092324229,1.9254630913243416,1.9274885101417978,1.4090291046251149,0.9985283792228454,0.0,1.9258406953439375,2.072381772700077,0.9851504736828418,2.090966148158034,2.101990718297503,2.108456502749894,2.6473890335114487,1.968507919044107,2.7753450855522086,2.466199593525299,2.4730699010436936,3.025726361739568
2/2,2.1178565658355466,0.9834575355577644,1.1428908660453205,0.9786986459206967,1.1492836030637121,2.089241237809631,2.20054413883077,1.9258406953439375,0.0,0.15563800795701202,1.7016270321773594,0.6694558422690295,0.6551968666372089,0.6746283489097172,1.2716527543305935,1.2304973952373277,1.3577253727234893,0.8724595395984809,0.889053397069041,1.448399438922543
2/4,2.208662028879656,1.0691295218226076,1.2264637718362361,1.046857796430589,1.2171599950985257,2.2071441381463903,2.3319767473712547,2.072381772700077,0.15563800795701202,0.0,1.8038457288784004,0.6668799675683812,0.6474558519509955,0.6682506181132923,1.248558337712245,1.2686558685193914,1.3239161490664344,0.8176875022562582,0.8363362259904386,1.376170140986057
