,bc8,6/4,9/4,6/8,9/8,bc4,bc16,2/2,2/4,3/4,5/4,7/4,12/4,bc12,12/8,5/8,7/8,bc24,4/4,bc48
bc8,0.0,1.2589516977599038,1.262915419319454,1.3109829769880035,1.3161587636900292,1.4142135623730951,2.0,2.1184164821687292,2.2091462564967204,2.2293120147496923,2.2532149752985324,2.2533588000879243,2.3447982212527827,2.420839754357787,2.4395604317236406,2.462810187313962,2.463117746962628,2.7633971188310302,2.9525805869692636,4.390071442781686
6/4,1.2589516977599038,0.0,0.5906356489378884,0.18135255374755346,0.6386823016839822,1.5327130863435379,2.1559699630089377,1.0148509859322143,1.099481639804267,1.2930859423189416,1.3224194612052316,1.3072110072525434,1.3549580202668987,1.7769139460318262,1.4626241253415206,1.5283393048085658,1.5136248336904237,1.7896627905115732,1.9043676486124754,3.490917497808653
9/4,1.262915419319454,0.5906356489378884,0.0,0.640543653945031,0.18715707778275387,1.527241141744452,2.347568971986651,1.2090259801707084,1.2916554019967357,1.1216629584860036,1.3547024843901374,1.3628357694233568,1.7259297301710825,1.7917291015231243,1.8258365945167263,1.5613240904579364,1.5694078757654704,1.8305350296252467,2.22672636034257,3.8495383569702226
6/8,1.3109829769880035,0.18135255374755346,0.640543653945031,0.0,0.6352283019294499,1.6396568370687472,2.170775674058556,1.0118922134279316,1.079445522332096,1.2872585565934311,1.3167097073577663,1.3002813732968839,1.2884688717178001,1.8063242723819102,1.3840898833098982,1.4848781429353266,1.4685366620095908,1.6997301718280973,1.8362830196836826,3.4169339393891924
9/8,1.3161587636900292,0.6386823016839822,0.18715707778275387,0.6352283019294499,0.0,1.6371866158288673,2.3752781118903217,1.2193395416203483,1.287080354261953,1.0996133551087752,1.3507320383463748,1.3594983578925481,1.6979774251729558,1.8225251356259722,1.7867521571984877,1.5193086986034823,1.5281930980729352,1.7423531976825697,2.1898337409543522,3.8066962392524326
bc4,1.4142135623730951,1.5327130863435379,1.527241141744452,1.6396568370687472,1.6371866158288673,0.0,2.449489742783178,2.0893034932637047,2.2071441381463903,2.227400067552585,2.2508935143767324,2.2511478991248546,2.6005825517239076,1.9883380930045633,2.712765879466653,2.5120230026317496,2.5124884012234587,3.104249287084341,3.1166874275784666,4.6122366887148445
bc16,2.0,2.1559699630089377,2.347568971986651,2.170775674058556,2.3752781118903217,2.449489742783178,0.0,2.7158898796070545,2.7751400644519895,2.982296034385131,2.98015231080922,2.959788408995173,2.503210715133178,3.140137754347581,2.564797658947839,3.1376196962003577,3.1159137030684323,3.411211461689767,2.9967386545045387,3.9080336836735783
2/2,2.1184164821687292,1.0148509859322143,1.2090259801707084,1.0118922134279316,1.2193395416203483,2.0893034932637047,2.7158898796070545,0.0,0.15844720369933335,0.7817198372769737,0.8263738498055486,0.7937740245043746,1.339533782027483,1.2925947087325136,1.4240770226395114,1.0255077244438382,0.9962732512321678,1.4558080382862086,1.5053933377983226,3.243748810012302
2/4,2.2091462564967204,1.099481639804267,1.2916554019967357,1.079445522332096,1.287080354261953,2.2071441381463903,2.7751400644519895,0.15844720369933335,0.0,0.7851477758628974,0.8289172350122375,0.7943838320416364,1.3212670724189552,1.3321628661612053,1.3954610960104632,0.9876091803044088,0.9552730388612038,1.3807127042057465,1.4391207608714438,3.180115056788845
3/4,2.2293120147496923,1.2930859423189416,1.1216629584860036,1.2872585565934311,1.0996133551087752,2.227400067552585,2.982296034385131,0.7817198372769737,0.7851477758628974,0.0,0.8835918590136324,0.9010965486695457,1.7867851795630358,1.3707259070105289,1.8584854623428386,1.036425683248763,1.0534046921856668,1.4174528252171907,1.9400622495499895,3.6640407415378364
5/4,2.2532149752985324,1.3224194612052316,1.3547024843901374,1.3167097073577663,1.3507320383463748,2.2508935143767324,2.98015231080922,0.8263738498055486,0.8289172350122375,0.8835918590136324,0.0,1.1170257789784006,1.744063812679016,1.4185256361043792,1.8147095446997525,0.4375706022570788,1.2627344374709848,1.4653208453166364,1.8894615156908252,3.635148855770397
7/4,2.2533588000879243,1.3072110072525434,1.3628357694233568,1.3002813732968839,1.3594983578925481,2.2511478991248546,2.959788408995173,0.7937740245043746,0.7943838320416364,0.9010965486695457,1.1170257789784006,0.0,1.7422420368806026,1.419217888120888,1.8128754645913847,1.2627148896448674,0.43830894434886936,1.4654881393506707,1.8874821357783789,3.5862274399706635
12/4,2.3447982212527827,1.3549580202668987,1.7259297301710825,1.2884688717178001,1.6979774251729558,2.6005825517239076,2.503210715133178,1.339533782027483,1.3212670724189552,1.7867851795630358,1.744063812679016,1.7422420368806026,0.0,2.36595001438284,0.14228553771727204,1.7890006073456262,1.7869738809221474,1.8111997737485208,0.7008191036502152,2.35783365497291
bc12,2.420839754357787,1.7769139460318262,1.7917291015231243,1.8063242723819102,1.8225251356259722,1.9883380930045633,3.140137754347581,1.2925947087325136,1.3321628661612053,1.3707259070105289,1.4185256361043792,1.419217888120888,2.36595001438284,0.0,2.4433736069101064,1.5351779029343833,1.5359393198265974,2.383878198287533,2.4912737073317555,4.161638968079073
12/8,2.4395604317236406,1.4626241253415206,1.8258365945167263,1.3840898833098982,1.7867521571984877,2.712765879466653,2.564797658947839,1.4240770226395114,1.3954610960104632,1.8584854623428386,1.8147095446997525,1.8128754645913847,0.14228553771727204,2.4433736069101064,0.0,1.8344233449862666,1.8323325406960953,1.817459217087739,0.6389069767804659,2.2744520574830895
5/8,2.462810187313962,1.5283393048085658,1.5613240904579364,1.4848781429353266,1.5193086986034823,2.5120230026317496,3.1376196962003577,1.0255077244438382,0.9876091803044088,1.036425683248763,0.4375706022570788,1.2627148896448674,1.7890006073456262,1.5351779029343833,1.8344233449862666,0.0,1.2580760338572454,1.3341131790214578,1.8698820567618504,3.5740680231448256
7/8,2.463117746962628,1.5136248336904237,1.5694078757654704,1.4685366620095908,1.5281930980729352,2.5124884012234587,3.1159137030684323,0.9962732512321678,0.9552730388612038,1.0534046921856668,1.2627344374709848,0.43830894434886936,1.7869738809221474,1.5359393198265974,1.8323325406960953,1.2580760338572454,0.0,1.3340918545771965,1.8675674202835844,3.517757876663352
bc24,2.7633971188310302,1.7896627905115732,1.8305350296252467,1.6997301718280973,1.7423531976825697,3.104249287084341,3.411211461689767,1.4558080382862086,1.3807127042057465,1.4174528252171907,1.4653208453166364,1.4654881393506707,1.8111997737485208,2.383878198287533,1.817459217087739,1.3341131790214578,1.3340918545771965,0.0,1.8517563285165626,3.4112114616897675
