Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c12,c14,c16
2/2,0.0,0.6843871413472937,28.432970106639296,0.0,35.1561443320996,18.401404183515773,25.265820088582135,19.978995049958215,17.298453082751973,18.46107393830861,16.353206557271825,34.010535245597595,18.594701189755288,17.850828662621215,0.5984002533353978,0.5984002533353978,16.713855198491018,0.5984002533353978,19.815889203039955,18.578506662781944,20.179666999028427,0.5984002533353978,19.219824339506154,19.70644226936862,16.589661368415243,19.86751339168723,0.5984002533353978
2/4,0.6843871413472937,0.0,28.523456686478596,0.6843871413472937,35.18845094481881,18.50578478805124,25.34666740515811,19.937734219401737,17.279784262109146,18.477226060803872,16.427084826636968,34.057016770868444,18.593341538180585,17.94303323255838,0.42247283489375725,0.42247283489375725,16.71166713629612,0.42247283489375725,19.811590330682883,18.617480552722668,20.179980264520697,0.42247283489375725,19.21882860437837,19.688023916895983,16.69390255421013,19.881425614812727,0.42247283489375725
3/4,28.432970106639296,28.523456686478596,0.0,28.432970106639296,34.125076228529075,22.898955162697447,27.936758925379312,26.149157591027354,27.24092276646472,29.156415720450376,19.138310024481502,30.69617890438257,24.481799478143923,22.957099465957935,28.523596276963243,28.523596276963243,29.270809188141307,28.523596276963243,35.305068275911275,24.51779475602692,34.64228986532866,28.523596276963243,30.129349687436587,32.50029463296947,16.949559310352193,35.212276384286774,28.523596276963243
4/4,0.0,0.6843871413472937,28.432970106639296,0.0,35.1561443320996,18.401404183515773,25.265820088582135,19.978995049958215,17.298453082751973,18.46107393830861,16.353206557271825,34.010535245597595,18.594701189755288,17.850828662621215,0.5984002533353978,0.5984002533353978,16.713855198491018,0.5984002533353978,19.815889203039955,18.578506662781944,20.179666999028427,0.5984002533353978,19.219824339506154,19.70644226936862,16.589661368415243,19.86751339168723,0.5984002533353978
5/4,35.1561443320996,35.18845094481881,34.125076228529075,35.1561443320996,0.0,36.204678305421304,33.918231983026736,37.541295556916005,35.95347786062469,30.85212169450442,35.55850362997119,43.07658936140947,36.584387410995475,36.915252557914904,35.14326771784524,35.14326771784524,38.96976251498342,35.14326771784524,38.089778718032335,34.30162867422132,38.670759656904245,35.14326771784524,38.66598607978914,28.487850471907297,34.384636601189634,40.43685051565793,35.14326771784524
6/4,18.401404183515773,18.50578478805124,22.898955162697447,18.401404183515773,36.204678305421304,0.0,24.761561058104085,21.32478376973932,11.238987135435892,24.89383483838249,14.09983663424629,36.50422715655989,23.000457607124755,9.637393043132661,18.50200164121698,18.50200164121698,22.508173060087884,18.50200164121698,28.678815123714852,19.426713822445752,29.268533991360442,18.50200164121698,25.524025086082233,26.37705327954314,13.447276588709425,28.926860860298632,18.50200164121698
7/4,25.265820088582135,25.34666740515811,27.936758925379312,25.265820088582135,33.918231983026736,24.761561058104085,0.0,30.88208204869528,27.69901165497887,29.55751784145341,25.62511733122233,37.18389094757981,29.510552349524016,24.828645223407875,25.347988238011173,25.347988238011173,28.49227524949842,25.347988238011173,33.14694532067717,27.72584539043654,31.648585408543887,25.347988238011173,30.59775840861438,28.954784604490243,25.077354427586794,31.447723417359708,25.347988238011173
9/4,19.978995049958215,19.937734219401737,26.149157591027354,19.978995049958215,37.541295556916005,21.32478376973932,30.88208204869528,0.0,20.24135471340572,25.672642935938065,17.304401555270093,38.67192816632699,21.70201885681352,20.060721408527883,19.934063089033614,19.934063089033614,23.985603366378804,19.934063089033614,29.360029410173688,21.495676523734478,31.114892768161656,19.934063089033614,25.504555301258357,26.65234763818275,17.09199415971986,31.50915417266464,19.934063089033614
12/4,17.298453082751973,17.279784262109146,27.24092276646472,17.298453082751973,35.95347786062469,11.238987135435892,27.69901165497887,20.24135471340572,0.0,24.402031991131086,17.749168896501704,37.53756644426048,24.246145903897418,14.2321979164725,17.274858561808653,17.274858561808653,22.610055528103516,17.274858561808653,27.258952803723812,21.433103355061352,27.839941826150245,17.274858561808653,25.119790541382994,24.908703127599704,17.744975132146173,27.568922733226202,17.274858561808653
5/8,18.46107393830861,18.477226060803872,29.156415720450376,18.46107393830861,30.85212169450442,24.89383483838249,29.55751784145341,25.672642935938065,24.402031991131086,0.0,21.092569834596933,37.83840210519596,24.530438325091687,25.55795116789392,18.457004285366466,18.457004285366466,23.64756809627998,18.457004285366466,22.846127937994932,21.96947311156521,28.11021559062483,18.457004285366466,23.6249386633355,14.474775251288722,21.699889331682517,27.10116630635744,18.457004285366466
