Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,bc3,bc6,bc12,bc2,bc4,bc8
2/2,0.0,0.15844720369933335,0.7817198372769737,1.5053933377983226,0.8263738498055486,1.0148509859322143,0.7937740245043746,1.2090259801707084,1.339533782027483,1.0255077244438382,1.0118922134279316,0.9962732512321678,1.2193395416203483,1.4240770226395114,1.9622644375848535,1.75821487324908,1.2925947087325136,2.2005441388307694,2.0893034932637047,2.1184164821687292
2/4,0.15844720369933335,0.0,0.7851477758628974,1.4391207608714438,0.8289172350122375,1.099481639804267,0.7943838320416364,1.2916554019967357,1.3212670724189552,0.9876091803044088,1.079445522332096,0.9552730388612038,1.287080354261953,1.3954610960104632,2.1087603896190688,1.860476112244848,1.3321628661612053,2.3319767473712547,2.2071441381463903,2.2091462564967204
3/4,0.7817198372769737,0.7851477758628974,0.0,1.9400622495499895,0.8835918590136324,1.2930859423189416,0.9010965486695457,1.1216629584860036,1.7867851795630358,1.036425683248763,1.2872585565934311,1.0534046921856668,1.0996133551087752,1.8584854623428386,2.1282407188413988,1.8825274342600933,1.3707259070105289,2.3496071430748593,2.227400067552585,2.2293120147496923
4/4,1.5053933377983226,1.4391207608714438,1.9400622495499895,0.0,1.8894615156908252,1.9043676486124754,1.8874821357783789,2.22672636034257,0.7008191036502152,1.8698820567618504,1.8362830196836826,1.8675674202835844,2.1898337409543522,0.6389069767804659,3.0816836992044037,2.917409022634549,2.4912737073317555,3.2385212044073435,3.1166874275784666,2.9525805869692636
5/4,0.8263738498055486,0.8289172350122375,0.8835918590136324,1.8894615156908252,0.0,1.3224194612052316,1.1170257789784006,1.3547024843901374,1.744063812679016,0.4375706022570788,1.3167097073577663,1.2627344374709848,1.3507320383463748,1.8147095446997525,2.149510704696051,1.906540650762593,1.4185256361043792,2.368890339179246,2.2508935143767324,2.2532149752985324
6/4,1.0148509859322143,1.099481639804267,1.2930859423189416,1.9043676486124754,1.3224194612052316,0.0,1.3072110072525434,0.5906356489378884,1.3549580202668987,1.5283393048085658,0.18135255374755346,1.5136248336904237,0.6386823016839822,1.4626241253415206,1.8105658666408722,1.8643407893747364,1.7769139460318262,1.7528143276457986,1.5327130863435379,1.2589516977599038
7/4,0.7937740245043746,0.7943838320416364,0.9010965486695457,1.8874821357783789,1.1170257789784006,1.3072110072525434,0.0,1.3628357694233568,1.7422420368806026,1.2627148896448674,1.3002813732968839,0.43830894434886936,1.3594983578925481,1.8128754645913847,2.149680699556884,1.9067323077597207,1.419217888120888,2.369044592130174,2.2511478991248546,2.2533588000879243
9/4,1.2090259801707084,1.2916554019967357,1.1216629584860036,2.22672636034257,1.3547024843901374,0.5906356489378884,1.3628357694233568,0.0,1.7259297301710825,1.5613240904579364,0.640543653945031,1.5694078757654704,0.18715707778275387,1.8258365945167263,1.8083320579387412,1.8668220517180336,1.7917291015231243,1.7454879545305584,1.527241141744452,1.262915419319454
12/4,1.339533782027483,1.3212670724189552,1.7867851795630358,0.7008191036502152,1.744063812679016,1.3549580202668987,1.7422420368806026,1.7259297301710825,0.0,1.7890006073456262,1.2884688717178001,1.7869738809221474,1.6979774251729558,0.14228553771727204,2.7028128561589067,2.6481046648891966,2.36595001438284,2.7559993450421447,2.6005825517239076,2.3447982212527827
5/8,1.0255077244438382,0.9876091803044088,1.036425683248763,1.8698820567618504,0.4375706022570788,1.5283393048085658,1.2627148896448674,1.5613240904579364,1.7890006073456262,0.0,1.4848781429353266,1.2580760338572454,1.5193086986034823,1.8344233449862666,2.513764984300876,2.3094404906176997,1.5351779029343833,2.703749168423549,2.5120230026317496,2.462810187313962
6/8,1.0118922134279316,1.079445522332096,1.2872585565934311,1.8362830196836826,1.3167097073577663,0.18135255374755346,1.3002813732968839,0.640543653945031,1.2884688717178001,1.4848781429353266,0.0,1.4685366620095908,0.6352283019294499,1.3840898833098982,1.9585209462688815,1.9939009404108223,1.8063242723819102,1.9205401696778663,1.6396568370687472,1.3109829769880035
7/8,0.9962732512321678,0.9552730388612038,1.0534046921856668,1.8675674202835844,1.2627344374709848,1.5136248336904237,0.43830894434886936,1.5694078757654704,1.7869738809221474,1.2580760338572454,1.4685366620095908,0.0,1.5281930980729352,1.8323325406960953,2.5142300604416783,2.309946705063972,1.5359393198265974,2.7041815705093497,2.5124884012234587,2.463117746962628
9/8,1.2193395416203483,1.287080354261953,1.0996133551087752,2.1898337409543522,1.3507320383463748,0.6386823016839822,1.3594983578925481,0.18715707778275387,1.6979774251729558,1.5193086986034823,0.6352283019294499,1.5281930980729352,0.0,1.7867521571984877,1.9607470028328675,2.0002472203502304,1.8225251356259722,1.9184316550373062,1.6371866158288673,1.3161587636900292
12/8,1.4240770226395114,1.3954610960104632,1.8584854623428386,0.6389069767804659,1.8147095446997525,1.4626241253415206,1.8128754645913847,1.8258365945167263,0.14228553771727204,1.8344233449862666,1.3840898833098982,1.8323325406960953,1.7867521571984877,0.0,2.830674623411718,2.76849898859864,2.4433736069101064,2.891210597102619,2.712765879466653,2.4395604317236406
bc3,1.9622644375848535,2.1087603896190688,2.1282407188413988,3.0816836992044037,2.149510704696051,1.8105658666408722,2.149680699556884,1.8083320579387412,2.7028128561589067,2.513764984300876,1.9585209462688815,2.5142300604416783,1.9607470028328675,2.830674623411718,0.0,0.9927230311585716,1.9905384202871277,0.9985283792228454,1.413173352463668,1.9934059072973338
bc6,1.75821487324908,1.860476112244848,1.8825274342600933,2.917409022634549,1.906540650762593,1.8643407893747364,1.9067323077597207,1.8668220517180336,2.6481046648891966,2.3094404906176997,1.9939009404108223,2.309946705063972,2.0002472203502304,2.76849898859864,0.9927230311585716,0.0,1.7253243712550146,1.405967348855055,1.7253243712550146,2.220412699959072
bc12,1.2925947087325136,1.3321628661612053,1.3707259070105289,2.4912737073317555,1.4185256361043792,1.7769139460318262,1.419217888120888,1.7917291015231243,2.36595001438284,1.5351779029343833,1.8063242723819102,1.5359393198265974,1.8225251356259722,2.4433736069101064,1.9905384202871277,1.7253243712550146,0.0,2.225643361388572,1.9883380930045633,2.420839754357787
bc2,2.2005441388307694,2.3319767473712547,2.3496071430748593,3.2385212044073435,2.368890339179246,1.7528143276457986,2.369044592130174,1.7454879545305584,2.7559993450421447,2.703749168423549,1.9205401696778663,2.7041815705093497,1.9184316550373062,2.891210597102619,0.9985283792228454,1.405967348855055,2.225643361388572,0.0,1.0,1.7320508075688772
bc4,2.0893034932637047,2.2071441381463903,2.227400067552585,3.1166874275784666,2.2508935143767324,1.5327130863435379,2.2511478991248546,1.527241141744452,2.6005825517239076,2.5120230026317496,1.6396568370687472,2.5124884012234587,1.6371866158288673,2.712765879466653,1.413173352463668,1.7253243712550146,1.9883380930045633,1.0,0.0,1.4142135623730951
