,c6,6/8,9/8,12/8,c3,6/4,9/4,3/4,5/8,c2,7/8,5/4,7/4,2/4,12/4,c12,4/4,2/2,c4,c8
c6,0.0,0.8346376729965916,0.8546469303976725,0.8692052601843283,0.9851504736828418,1.2409496463860505,1.2474692114694004,1.3514111467723808,1.404077573822081,1.4059673488550548,1.411497463796868,1.4810200781242244,1.4847925276607816,1.4977175486956547,1.6199807587834578,1.6916300351260647,1.7201513242621425,1.7201513242621425,1.7253243712550144,2.2160701277379324
6/8,0.8346376729965916,0.0,0.30453983461398626,0.6696423389076898,0.741121913254345,0.7358317833287117,0.7379838133712118,0.5673312421773511,0.6463896757764869,0.6299130617273755,0.65546483381469,0.7369892075803461,0.7422473701266755,0.743087832623007,1.456312003638819,1.7147604564809344,1.1076367221212904,1.1076367221212904,1.07416059618284,1.7676827799324082
9/8,0.8546469303976725,0.30453983461398626,0.0,0.8556871997650715,0.7514283766781108,0.9382226669709148,0.8849017564446927,0.7042037034979899,0.6459772190644764,0.6284309028163497,0.6501652454645972,0.8005386696379058,0.8120146588472341,0.8137409931192062,1.6052474740371598,1.904017427748976,1.1797742588723776,1.1797742588723776,1.1769529636693625,1.8318304049988523
12/8,0.8692052601843283,0.6696423389076898,0.8556871997650715,0.0,1.046095754705806,0.47861793700640326,0.6374291137888402,0.9246458469814107,1.207479404625368,1.211834996535368,1.2080245851389662,1.1377645916950603,1.139675432255324,1.1269124438945834,0.8969738840542739,1.159714159305838,1.2802040909958925,1.2802040909958925,1.285580021628669,1.7614289935506746
c3,0.9851504736828418,0.741121913254345,0.7514283766781108,1.046095754705806,0.0,1.157299196068388,1.1563668290545643,1.028385285736177,1.0067963551570571,0.9985283792228454,1.0135284268228382,1.117635180980993,1.12166555373385,1.1237824769498568,1.7175211749023243,1.968507919044107,1.4114315069764412,1.4114315069764412,1.4090291046251149,1.9880347076139728
6/4,1.2409496463860505,0.7358317833287117,0.9382226669709148,0.47861793700640326,1.157299196068388,0.0,0.39968556162363067,0.6390281719327301,1.081466844281392,1.0807258406403695,1.0813346887088815,0.8642078005216504,0.8666512467689604,0.8422062190824534,0.9178152456875875,1.2689462382606684,0.9793272886944041,0.9793272886944041,0.8892996439540389,1.5172427005348845
9/4,1.2474692114694004,0.7379838133712118,0.8849017564446927,0.6374291137888402,1.1563668290545643,0.39968556162363067,0.0,0.6385119693339508,1.0683015934019662,1.0724052774225061,1.07701095509979,0.8504890852576493,0.8639303179444312,0.8750964606892008,1.1537106893286961,1.2957208616227913,1.073629668142576,1.073629668142576,0.889204868285702,1.654000426290441
3/4,1.3514111467723808,0.5673312421773511,0.7042037034979899,0.9246458469814107,1.028385285736177,0.6390281719327301,0.6385119693339508,0.0,0.5729916088717013,0.5411042389377494,0.5775099745284954,0.3482017305426329,0.3567185381349066,0.3278551527953735,1.4887604469537363,1.8159956655955014,0.7808585109320324,0.7808585109320324,0.5786121950695781,1.523699348862208
5/8,1.404077573822081,0.6463896757764869,0.6459772190644764,1.207479404625368,1.0067963551570571,1.081466844281392,1.0683015934019662,0.5729916088717013,0.0,0.22108807311395806,0.3003589447482924,0.5215003231176772,0.5878618572430745,0.5687515443763678,1.8130633808584724,2.2131261168934677,1.0340631848071955,1.0340631848071955,1.0234641364243533,1.743569536129644
c2,1.4059673488550548,0.6299130617273755,0.6284309028163497,1.211834996535368,0.9985283792228454,1.0807258406403695,1.0724052774225061,0.5411042389377494,0.22108807311395806,0.0,0.23035179007344966,0.5524848344170975,0.5578057911536867,0.5257394130651457,1.8306739106385947,2.225643361388572,1.014468479783025,1.014468479783025,1.0,1.7320508075688772
