,9/4,9/8,3/4,mc9,6/4,6/8,mc6,mc12,mc3,12/4,7/4,12/8,5/4,7/8,5/8,2/2,4/4,mc8,2/4,mc7,mc5,mc4,mc2
9/4,0.0,1.572153163643502,9.371251924922923,10.52997496911535,14.183782067845545,15.117066471485764,15.185274801765173,15.65181648387643,15.708281143665182,16.674972690884047,16.99591057158241,17.286250771000123,17.38305332412552,17.807710322550097,18.501639514241212,19.98187734320453,19.98187734320453,20.84143350233301,21.102920812886534,21.702337577119646,23.396319374142724,24.263759074330288,30.302856145887514
9/8,1.572153163643502,0.0,9.170976670922379,10.976287895672767,14.459428242478689,15.285289748233405,15.444209218650991,16.78386721069146,14.933256131143402,17.122445912498744,17.866506495253958,17.68040095805835,18.09709192201779,18.57845697408884,19.09428551306404,20.256166105877966,20.256166105877966,21.730312065442106,21.313596804954397,22.418257060837796,23.95120936451877,24.89056299524408,30.235863700870926
3/4,9.371251924922923,9.170976670922379,0.0,18.863602306564708,11.318237560650331,11.685041766761138,11.543337910270731,15.747319750278555,12.31057745622331,15.466636498301206,19.98406530747323,15.81787560594014,19.738020719772177,20.495332605963448,20.48600291309661,18.88114988408391,18.88114988408391,22.752572286845634,19.71931874015798,24.38566103542461,25.48202146733009,24.028753859048933,28.17961344738517
mc9,10.52997496911535,10.976287895672767,18.863602306564708,0.0,21.169416084432868,22.228117927933784,20.493901531919196,18.708286933869708,23.664319132398465,22.70325975727764,19.73567963405563,23.38587582348263,20.91515051842962,20.75349094324468,22.243939126410382,25.76577184739933,25.76577184739933,22.9128784747792,26.95105796038624,23.664319132398465,25.92296279363144,27.748873851023216,35.4964786985977
6/4,14.183782067845545,14.459428242478689,11.318237560650331,21.169416084432868,0.0,1.855287940084312,12.917888763141859,15.65600948638201,22.20639799703207,6.746301393630056,18.36675507637721,7.015829783950621,17.824827723151614,18.814916826701467,18.507081403861847,10.353393821168684,10.353393821168684,19.189025898925898,11.228266461381969,23.53741705681455,24.60390859957022,18.452711477167362,18.757410620094124
6/8,15.117066471485764,15.285289748233405,11.685041766761138,22.228117927933784,1.855287940084312,0.0,13.457851417599567,16.762614058487916,22.367324822310767,7.1315773073327335,19.521514556398227,7.201800772677564,18.817164304695858,19.875153855897736,19.37134672493801,10.310541562590961,10.310541562590961,20.529163627878088,11.00365162810339,24.53354493949243,25.4216180875216,18.759208097533556,17.79694046739368
mc6,15.185274801765173,15.444209218650991,11.543337910270731,20.493901531919196,12.917888763141859,13.457851417599567,0.0,14.491376746189438,20.493901531919196,18.27149803230125,21.507212299549547,18.73008404478359,22.087904136170966,22.24436172208018,23.095222269284594,21.97276672180963,21.97276672180963,22.9128784747792,22.920623619492535,25.69046515733026,27.49545416973504,25.099800796022265,28.982753492378876
mc12,15.65181648387643,16.78386721069146,15.747319750278555,18.708286933869708,15.65600948638201,16.762614058487916,14.491376746189438,0.0,25.099800796022265,16.90821829199694,17.987699387537617,17.611488809111773,19.324159691869433,19.31262812405109,21.012316858738544,21.507275069144484,21.507275069144484,17.74823934929885,22.73540613010013,22.58317958127243,25.099800796022265,20.493901531919196,32.4037034920393
mc3,15.708281143665182,14.933256131143402,12.31057745622331,23.664319132398465,22.20639799703207,22.367324822310767,20.493901531919196,25.099800796022265,0.0,25.544050069011647,27.787107779719644,25.785575437242628,27.548866067037522,28.10400319541597,28.019408056301927,27.97687483862031,27.97687483862031,30.740852297878796,28.59722741405223,30.983866769659336,31.74901573277509,32.4037034920393,35.4964786985977
12/4,16.674972690884047,17.122445912498744,15.466636498301206,22.70325975727764,6.746301393630056,7.1315773073327335,18.27149803230125,16.90821829199694,25.544050069011647,0.0,18.446272707354705,1.0486824967566328,17.73653773736894,18.98399306348789,18.54269577821641,5.160388578965741,5.160388578965741,17.17327007544309,6.3045080092247545,23.75520897494223,24.723891915356436,13.156076620070605,17.79284465202101
